,trajectory_id,trace_number,longitude (degree_east),latitude (degree_north),date,time_UTC,surface_altitude (m),land_ice_thickness (m),bedrock_altitude (m),two_way_travel_time (m),aircraft_altitude (m),along_track_distance (m),easting,northing,project,geometry
47,144915,,-121.3351,-76.82961,,,2123.0,2030.0,93.0,,,,-1227463.6322951938,-747339.9077084698,,POINT (-1227463.6322951938 -747339.9077084698)
48,144914,,-121.3519,-76.8329,,,2123.0,2003.0,120.0,,,,-1226935.271593476,-747511.4206910015,,POINT (-1226935.271593476 -747511.4206910015)
49,144913,,-121.3602,-76.8345,,,2124.0,2008.0,116.0,,,,-1226676.6270994241,-747597.5216244524,,POINT (-1226676.6270994241 -747597.5216244524)
50,144912,,-121.3685,-76.8362,,,2124.0,1813.0,311.0,,,,-1226408.5881640026,-747677.8355153713,,POINT (-1226408.5881640026 -747677.8355153713)
51,144911,,-121.397,-76.8429,,,2126.0,1497.0,629.0,,,,-1225407.2098457573,-747903.689866592,,POINT (-1225407.2098457573 -747903.689866592)
52,144910,,-121.402,-76.8429,,,2127.0,1438.0,689.0,,,,-1225341.9382704555,-748010.6239710975,,POINT (-1225341.9382704555 -748010.6239710975)
53,144909,,-121.4154,-76.8445,,,2128.0,1445.0,683.0,,,,-1225016.7103110866,-748205.408328326,,POINT (-1225016.7103110866 -748205.408328326)
54,144908,,-121.4305,-76.84621,,,2128.0,1521.0,607.0,,,,-1224658.92446202,-748430.1068163919,,POINT (-1224658.92446202 -748430.1068163919)
55,144907,,-121.4321,-76.84621,,,2129.0,1650.0,479.0,,,,-1224638.0238731792,-748464.3054532805,,POINT (-1224638.0238731792 -748464.3054532805)
56,144906,,-121.4589,-76.85451,,,2128.0,1773.0,355.0,,,,-1223508.7254816233,-748560.3985361155,,POINT (-1223508.7254816233 -748560.3985361155)
57,144905,,-121.4688,-76.85451,,,2129.0,1683.0,446.0,,,,-1223379.3652663173,-748771.7944920181,,POINT (-1223379.3652663173 -748771.7944920181)
58,144904,,-121.4922,-76.85789,,,2128.0,1407.0,721.0,,,,-1222756.315543881,-749077.0820562361,,POINT (-1222756.315543881 -749077.0820562361)
59,144903,,-121.5023,-76.8595,,,2129.0,1378.0,751.0,,,,-1222473.2019439286,-749200.0447224876,,POINT (-1222473.2019439286 -749200.0447224876)
60,144902,,-121.5139,-76.86121,,,2129.0,1385.0,744.0,,,,-1222161.0851238722,-749349.1761214498,,POINT (-1222161.0851238722 -749349.1761214498)
61,152010,,-121.3803,-76.83791,,,2125.0,1640.0,485.0,,,,-1226093.9325503712,-747832.4140290229,,POINT (-1226093.9325503712 -747832.4140290229)
62,144953,,-120.6803,-76.78641,,,2074.0,2382.0,-308.0,,,,-1240012.7991987949,-735689.1757526814,,POINT (-1240012.7991987949 -735689.1757526814)
63,144952,,-120.6937,-76.78799000000001,,,2076.0,2414.0,-338.0,,,,-1239691.1846108057,-735890.4050895756,,POINT (-1239691.1846108057 -735890.4050895756)
64,144951,,-120.707,-76.7897,,,2077.0,2437.0,-360.0,,,,-1239358.5282194873,-736082.0557516105,,POINT (-1239358.5282194873 -736082.0557516105)
65,144950,,-120.7138,-76.7897,,,2078.0,2450.0,-372.0,,,,-1239271.1595142174,-736229.140598345,,POINT (-1239271.1595142174 -736229.140598345)
66,144949,,-120.7321,-76.7897,,,2080.0,2454.0,-374.0,,,,-1239035.9482144166,-736624.9203646942,,POINT (-1239035.9482144166 -736624.9203646942)
67,144948,,-120.7538,-76.7897,,,2080.0,2459.0,-379.0,,,,-1238756.8726510121,-737094.1355958373,,POINT (-1238756.8726510121 -737094.1355958373)
68,144947,,-120.7621,-76.7914,,,2081.0,2454.0,-373.0,,,,-1238489.319527095,-737177.8871850653,,POINT (-1238489.319527095 -737177.8871850653)
69,144946,,-120.7739,-76.793,,,2081.0,2443.0,-362.0,,,,-1238186.1850495653,-737342.8450680509,,POINT (-1238186.1850495653 -737342.8450680509)
70,144945,,-120.7939,-76.7964,,,2080.0,2419.0,-339.0,,,,-1237607.311362184,-737583.4520117234,,POINT (-1237607.311362184 -737583.4520117234)
71,144944,,-120.819,-76.798,,,2078.0,2363.0,-285.0,,,,-1237132.8589527905,-738035.3391956872,,POINT (-1237132.8589527905 -738035.3391956872)
72,144943,,-120.8591,-76.798,,,2073.0,1909.0,164.0,,,,-1236616.022022635,-738900.9992409751,,POINT (-1236616.022022635 -738900.9992409751)
73,144942,,-120.8808,-76.7997,,,2071.0,1776.0,295.0,,,,-1236175.5228175276,-739273.2766132425,,POINT (-1236175.5228175276 -739273.2766132425)
74,144941,,-120.8858,-76.7997,,,2069.0,1662.0,407.0,,,,-1236111.0043468575,-739381.1504631903,,POINT (-1236111.0043468575 -739381.1504631903)
75,144940,,-120.9259,-76.8013,,,2068.0,1630.0,438.0,,,,-1235442.1804608717,-740155.6034967288,,POINT (-1235442.1804608717 -740155.6034967288)
76,144939,,-120.9326,-76.8013,,,2069.0,1720.0,349.0,,,,-1235355.6203940513,-740300.0674120922,,POINT (-1235355.6203940513 -740300.0674120922)
77,144938,,-120.9442,-76.80299000000001,,,2071.0,1815.0,256.0,,,,-1235046.2047061964,-740454.5278012874,,POINT (-1235046.2047061964 -740454.5278012874)
78,144937,,-120.9726,-76.80299000000001,,,2077.0,1945.0,132.0,,,,-1234679.029307614,-741066.616498554,,POINT (-1234679.029307614 -741066.616498554)
79,144936,,-120.991,-76.8029,,,2082.0,1980.0,102.0,,,,-1234449.4695490096,-741468.1835941881,,POINT (-1234449.4695490096 -741468.1835941881)
80,144935,,-121.0094,-76.8046,,,2086.0,2067.0,19.0,,,,-1234050.9460398646,-741768.1967717883,,POINT (-1234050.9460398646 -741768.1967717883)
81,144934,,-121.0211,-76.8046,,,2090.0,2196.0,-106.0,,,,-1233899.4486328766,-742020.1788546172,,POINT (-1233899.4486328766 -742020.1788546172)
